/                                    design 7649px  app 7628px  diff 8.71%
/platform/feed-management            design 3597px  app 3597px  diff 0.22%
/platform/diagnostics                design 3808px  app 3808px  diff 0.20%
/platform/rules-engine               design 4070px  app 4070px  diff 0.20%
/platform/price-intelligence         design 3332px  app 3332px  diff 0.36%
/platform/conversion-intelligence    design 3344px  app 3344px  diff 0.24%
/channels                            design 2505px  app 2505px  diff 0.31%
/channels/google-shopping            design 3739px  app 3739px  diff 0.20%
/channels/google-ads                 design 3673px  app 3673px  diff 0.28%
/channels/meta                       design 3846px  app 3846px  diff 0.25%
/channels/tiktok                     design 3606px  app 3606px  diff 0.21%
/channels/pinterest                  design 3753px  app 3753px  diff 0.25%
/channels/snapchat                   design 3586px  app 3586px  diff 0.23%
/channels/bing                       design 3609px  app 3609px  diff 0.27%
/channels/amazon                     design 3877px  app 3877px  diff 0.20%
/channels/walmart                    design 3854px  app 3854px  diff 0.19%
/channels/ebay                       design 3799px  app 3799px  diff 0.22%
/pricing                             design 2371px  app 2371px  diff 0.31%
/demo                                design 3403px  app 3403px  diff 0.29%
/contact                             design 1283px  app 1283px  diff 0.22%
/help                                design 3923px  app 3923px  diff 0.29%
/security                            design 3906px  app 3906px  diff 0.21%
/legal/privacy                       design 7612px  app 7612px  diff 0.14%
/legal/terms                         design 8184px  app 8184px  diff 0.11%
/legal/gdpr                          design 7414px  app 7414px  diff 0.16%
/legal/cookies                       design 4112px  app 4112px  diff 0.12%
